00CDFE
18AF61
CC4463
6C72E7
CCC760
87402
285AEB
28F076
44D884
EC852F
286ABA
705681
7CD1C3
F0DCE2
B065BD
A82066
BC6778
68967B
848506
B4F0AB
10DDB1
04F7E4
34C059
F0D1A9
F82793
ACFDEC
D0E140
8C7C92
7831C1
F437B7
54AE27
6476BA
84B153
783A84
2CBE08
24E314
60FEC5
00A040
BC3BAF
786C1C
41552
38484C
701124
C86F1D
685B35
380F4A
3.01E+07
04DB56
881FA1
04E536
109ADD
40A6D9
7CF05F
A4B197
0C74C2
403004
4860BC
50EAD6
28E02C
60C547
7C11BE
003EE1
68D93C
2CF0EE
84788B
6C94F8
703EAC
C01ADA
34363B
C81EE7
9CFC01
000D93
001CB3
64B9E8
34159E
58B035
F0B479
ACBC32
AC61EA
38B54D
A4F1E8
90C1C6
70A2B3
4C57CA
68FB7E
0CD746
440010
E498D6
606944
0452F3
241EEB
F431C3
64A5C3
CC08E0
5855CA
8C7B9D
88C663
C82A14
9803D8
8C5877
3451C9
E0B9BA
D023DB
B88D12
B817C2
68A86D
78A3E4
BC926B
5.00E+05
3065
000A27
1451
1.90E+04
2312
2332
2436
00254B
0026BB
E80688
985AEB
2078F0
78D75F
E0ACCB
98E0D9
C0CECD
70E72C
D03311
C8B5B7
A8BBCF
90B21F
B8E856
1.50E+05
B418D1
80006E
60D9C7
C8F650
1C1AC0
E06678
5C8D4E
64A3CB
44FB42
F41BA1
3CE072
E88D28
CC785F
AC3C0B
88CB87
EC3586
F0C1F1
F4F951
18AF8F
C0F2FB
00F76F
AC87A3
48437C
34A395
9CF387
A85B78
908D6C
0C1539
BC4CC4
0CBC9F
A45E60
680927
60FACD
1CABA7
8CFABA
5C95AE
E0C97A
BC52B7
14109F
542696
D8D1CB
5.44E+92
5CADCF
006D52
1C9E46
E0C767
A860B6
24F094
90B0ED
C4B301
E05F45
483B38
5CF938
3871DE
BC5436
00C610
70DEE2
182032
6CC26B
1040F3
FC253F
183451
C0847A
64200C
74E1B6
0C771A
00F4B9
C8334B
B8F6B1
C09F42
189EFC
6C3E6D
7CFADF
101C0C
1124
001D4F
1.00E+52
001F5B
001FF3
2.10E+10
00236C
2500
60FB42
F81EDF
90840D
D8A25E
C8BCC8
28E7CF
D89E3F
040CCE
A4D1D2
406C8F
649ABE
94E96A
AC293A
10417F
7014A6
A8667F
D02598
CC29F5
6C709F
0C3E9F
34E2FD
609217
8863DF
80E650
6171
90FD61
5C97F3
6C4008
24A074
F02475
20A2E4
5CF5DA
28E14C
54E43A
C8E0EB
A88808
907240
0C4DE9
D89695
0C3021
F0F61C
B03495
848E0C
8C2DAA
444C0C
84FCFE
E48B7F
5C969D
A8FAD8
949426
E0F5C6
B844D9
DC2B2A
9C4FDA
1C5CF2
E49A79
28A02B
B44BD2
B48B19
ECADB8
9801A7
2CF0A2
6C8DC1
38CADA
68DBCA
044BED
A4D18C
CC25EF
7CC537
70CD60
24AB81
581FAA
A46706
3C0754
E4CE8F
E8040B
B8C75D
403CFC
286AB8
7CC3A1
B8782E
502
0010FA
393
0016CB
0017F2
001B63
001EC2
2608
7C6D62
40D32D
D83062
C42C03
789F70
DC3714
40331A
94F6A3
D81D72
70ECE4
38C986
FCFC48
A4C361
AC7F3E
280B5C
90B931
24A2E1
80EA96
600308
04F13E
54724F
48746E
3CAB8E
7C6DF8
48D705
3CD0F8
98D6BB
4CB199
64E682
804971
98FE94
D8004D
98B8E3
80929F
885395
9C04EB
78FD94
C88550
D4F46F
7.87E+63
60F81D
4C7C5F
48E9F1
FCE998
F099BF
68644B
A8968A
4C8D79
207D74
F4F15A
42665
2CB43A
689C70
87045
209BCD
F0B0E7
CC20E8
F45C89
BCEC5D
DC415F
30636B
04D3CF
0C5101
086D41
28ED6A
34AB37
60A37D
0056CD
7081EB
86698
9060F1
741BB2
28CFE9
E425E7
80007
000A95
2241
0023DF
0025BC
00264A
0026B0
4.10E+65
D49A20
9.03E+07
60334B
A43135
9C35EB
507A55
A0999B
24240E
903C92
341298
9C293F
A88E24
E8802E
68AE20
E0B52D
80BE05
D8BB2C
D04F7E
2C1F23
549F13
B8098A
F0DBE2
18EE69
748114
18F643
D0A637
A01828
D0034B
5C5948
78CA39
18E7F4
B8FF61
DC2B61
1.09E+12
442A60
E0F847
145A05
28CFDA
148FC6
283737
45453
F0CBA1
C06394
8C006D
B09FBA
DC86D8
8C2937
DC9B9C
98F0AB
F0DBF8
ACCF5C
3C15C2
04489A
D8CF9C
30F7C5
8865
40B395
3090AB
1CE62B
A0EDCD
A886DD
54EAA8
E4C63D
843835
7073CB
9C207B
842999
74E2F5
20C9D0
7C0191
70480F
A4B805
587F57
80D605
C869CD
BC6C21
0469F8
20768F
C0CCF8
80ED2C
E8B2AC
8489AD
8C8EF2
F40F24
84A134
1C9148
